股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
000045,深纺织Ａ,,深圳,,8237,1.19,1025,,-1.4107890337,-19.727741533741,14.8685800767,6495,7192,197,220,19.9569210804,0.536758385895,-6396,19940815,-6396,5804740389.54,506521849.0,2.9696324406,1437,754,,
000048,京基智农,,深圳,,1999,5.2,1089,,-11.6125178236,-3.972970908243,19.3180736379,1267,1283,208,598,58.325803548,6.760767878898,5095,19941101,5095,9041312362.5,530282250.0,9.6391487136,1931,1196,,
000049,德赛电池,,深圳,,4799,1.48,1089,,9.3174626067,-9.355284766851,9.212943578,2267,2323,143,368,60.6514354296,10.488336610185,-2617,19950320,-2617,9362101917.56,384638534.0,0.360503031,2841,1791,,
000050,深天马Ａ,,深圳,,5980,0.75,1089,,9.9275970539,142.072364850937,16.2114353715,-3683,92193,90,164,61.6284372505,-0.543943129477,-2338,19950315,-2338,24626631563.22,2457747661.0,0.996440877,1056,606,,
000055,方大集团,,深圳,,13354,0.28,65,,-25.0983079934,-85.196642991317,18.191282342,3189,10192,76,659,53.1968401175,4.440732226606,3815,19960415,3815,4617659176.099999,1073874227.0,1.0828215468,452,310,,
000056,皇庭国际,,深圳,,-984,-25.91,65,,-29.3493651403,-0.834261872414,63.1611896691,-504,-504,1171,461,97.1208852179,-1.987938264103,-1224,19960708,-1224,3228302040.6,1182528220.0,-68.4163146611,443,167,,
000058,深 赛 格,,深圳,,12415,1.13,1089,,-13.5602750705,-7.980556768574,25.9171517568,30255,31942,565,190,50.0853482769,0.338705097702,-1977,19961226,-1977,11363982202.56,1231200672.0,6.9636709662000005,1182,583,,
000059,华锦股份,,深圳,,-441,-9.44,1089,,-5.0051924082,-33.147094513785,10.9242651029,-312,-287,83,297,59.3567445405,1.080660026294,-1106,19970130,-1106,8716961826.65,1599442537.0,-4.8868595126,586,356,,
000060,中金岭南,,深圳,,1797,1.91,1089,,-10.759297873,14.069902058662,5.1233362082,1814,1759,141,206,63.1324500996,2.327526101131,-5784,19970123,-5784,19622409245.25,3737601761.0,1.9057105531,537,381,,
000061,农 产 品,,深圳,,3100,2.97,1089,,44.9757896659,-11.065932938354,20.6619482765,3074,3277,185,82,59.1764796115,0.867084387879,-5544,19970110,-5544,11810870351.76,1696964131.0,7.8066413471,796,507,,
000062,深圳华强,,深圳,,7943,1.51,1089,,17.2383257665,83.91105103177,8.401561111,15750,12845,489,607,52.1692144086,4.267659500773,-3855,19970130,-3855,33542311956.54,1045909322.0,2.4076736385,4337,1773,,
000063,中兴通讯,,深圳,,2195,3.38,1089,,7.8156565991,-10.500153412339,34.2713747516,2556,2647,298,602,66.6993732692,8.23122960951,1714,19971118,1714,215354740612.74,4783534887.0,7.4742245527,4790,2268,,
000065,北方国际,,深圳,,2064,3.11,1089,,-35.3376820005,-42.714488400582,13.085726651,1215,1556,127,205,56.2445429726,6.046322123219,6928,19980605,6928,12749491900.6,1071385874.0,4.4778684664,1335,792,,
