code,name,market,market_name,industry,area
000001,平安银行,0,深圳主板,,
000002,万  科Ａ,0,深圳主板,,
000004,*ST国华,0,深圳主板,,
000006,深振业Ａ,0,深圳主板,,
000007,全新好,0,深圳主板,,
000008,神州高铁,0,深圳主板,,
000009,中国宝安,0,深圳主板,,
000010,美丽生态,0,深圳主板,,
000011,深物业A,0,深圳主板,,
000012,南  玻Ａ,0,深圳主板,,
000014,沙河股份,0,深圳主板,,
000016,深康佳Ａ,0,深圳主板,,
000017,深中华A,0,深圳主板,,
000019,深粮控股,0,深圳主板,,
000020,深华发Ａ,0,深圳主板,,
000021,深科技,0,深圳主板,,
000025,特  力Ａ,0,深圳主板,,
000026,飞亚达,0,深圳主板,,
000027,深圳能源,0,深圳主板,,
000028,国药一致,0,深圳主板,,
000029,深深房Ａ,0,深圳主板,,
000030,富奥股份,0,深圳主板,,
000031,大悦城,0,深圳主板,,
000032,深桑达Ａ,0,深圳主板,,
000034,神州数码,0,深圳主板,,
000035,中国天楹,0,深圳主板,,
000036,华联控股,0,深圳主板,,
000037,深南电A,0,深圳主板,,
000039,中集集团,0,深圳主板,,
000042,中洲控股,0,深圳主板,,
000045,深纺织Ａ,0,深圳主板,,
000048,京基智农,0,深圳主板,,
000049,德赛电池,0,深圳主板,,
000050,深天马Ａ,0,深圳主板,,
000055,方大集团,0,深圳主板,,
000056,皇庭国际,0,深圳主板,,
000058,深 赛 格,0,深圳主板,,
000059,华锦股份,0,深圳主板,,
000060,中金岭南,0,深圳主板,,
000061,农 产 品,0,深圳主板,,
000062,深圳华强,0,深圳主板,,
000063,中兴通讯,0,深圳主板,,
000065,北方国际,0,深圳主板,,
000066,中国长城,0,深圳主板,,
000068,华控赛格,0,深圳主板,,
000069,华侨城Ａ,0,深圳主板,,
000070,特发信息,0,深圳主板,,
000078,海王生物,0,深圳主板,,
000088,盐 田 港,0,深圳主板,,
000089,深圳机场,0,深圳主板,,
000090,天健集团,0,深圳主板,,
000096,广聚能源,0,深圳主板,,
000099,中信海直,0,深圳主板,,
000100,TCL科技,0,深圳主板,,
000151,中成股份,0,深圳主板,,
000153,丰原药业,0,深圳主板,,
000155,川能动力,0,深圳主板,,
000156,华数传媒,0,深圳主板,,
000157,中联重科,0,深圳主板,,
000158,常山北明,0,深圳主板,,
000159,国际实业,0,深圳主板,,
000166,申万宏源,0,深圳主板,,
000301,东方盛虹,0,深圳主板,,
000333,美的集团,0,深圳主板,,
000338,潍柴动力,0,深圳主板,,
000400,许继电气,0,深圳主板,,
000401,冀东水泥,0,深圳主板,,
000402,金 融 街,0,深圳主板,,
000403,派林生物,0,深圳主板,,
000404,长虹华意,0,深圳主板,,
000407,胜利股份,0,深圳主板,,
000408,藏格矿业,0,深圳主板,,
000409,云鼎科技,0,深圳主板,,
000410,沈阳机床,0,深圳主板,,
000411,英特集团,0,深圳主板,,
000415,渤海租赁,0,深圳主板,,
000417,合百集团,0,深圳主板,,
000419,通程控股,0,深圳主板,,
000420,吉林化纤,0,深圳主板,,
000421,南京公用,0,深圳主板,,
000422,湖北宜化,0,深圳主板,,
000423,东阿阿胶,0,深圳主板,,
000425,徐工机械,0,深圳主板,,
000426,兴业银锡,0,深圳主板,,
000428,华天酒店,0,深圳主板,,
000429,粤高速Ａ,0,深圳主板,,
000430,ST张家界,0,深圳主板,,
000488,ST晨鸣,0,深圳主板,,
000498,山东路桥,0,深圳主板,,
000501,武商集团,0,深圳主板,,
000503,国新健康,0,深圳主板,,
000504,*ST生物,0,深圳主板,,
000505,京粮控股,0,深圳主板,,
000506,招金黄金,0,深圳主板,,
000507,珠海港,0,深圳主板,,
000509,华塑控股,0,深圳主板,,
000510,新金路,0,深圳主板,,
000513,丽珠集团,0,深圳主板,,
000514,渝 开 发,0,深圳主板,,
000516,国际医学,0,深圳主板,,
000517,荣安地产,0,深圳主板,,
000518,*ST四环,0,深圳主板,,
000519,中兵红箭,0,深圳主板,,
000520,凤凰航运,0,深圳主板,,
000521,长虹美菱,0,深圳主板,,
000523,红棉股份,0,深圳主板,,
000524,岭南控股,0,深圳主板,,
000525,红太阳,0,深圳主板,,
000526,学大教育,0,深圳主板,,
000528,柳    工,0,深圳主板,,
000529,广弘控股,0,深圳主板,,
000530,冰山冷热,0,深圳主板,,
000531,穗恒运Ａ,0,深圳主板,,
000532,华金资本,0,深圳主板,,
000533,顺钠股份,0,深圳主板,,
000534,万泽股份,0,深圳主板,,
000536,华映科技,0,深圳主板,,
000537,中绿电,0,深圳主板,,
000538,云南白药,0,深圳主板,,
000539,粤电力Ａ,0,深圳主板,,
000541,佛山照明,0,深圳主板,,
000543,皖能电力,0,深圳主板,,
000544,中原环保,0,深圳主板,,
000545,金浦钛业,0,深圳主板,,
000546,金圆股份,0,深圳主板,,
000547,航天发展,0,深圳主板,,
000548,湖南投资,0,深圳主板,,
000550,江铃汽车,0,深圳主板,,
000551,创元科技,0,深圳主板,,
000552,甘肃能化,0,深圳主板,,
000553,安道麦A,0,深圳主板,,
000554,泰山石油,0,深圳主板,,
000555,神州信息,0,深圳主板,,
000557,西部创业,0,深圳主板,,
000558,天府文旅,0,深圳主板,,
000559,万向钱潮,0,深圳主板,,
000560,我爱我家,0,深圳主板,,
000561,烽火电子,0,深圳主板,,
000563,陕国投Ａ,0,深圳主板,,
000564,供销大集,0,深圳主板,,
000565,渝三峡Ａ,0,深圳主板,,
000566,海南海药,0,深圳主板,,
000567,海德股份,0,深圳主板,,
000568,泸州老窖,0,深圳主板,,
000570,苏常柴Ａ,0,深圳主板,,
