股票代码,股票名称,股票上市日期,股票上市地点,股票所属行业,每股收益,每股净资产,净资产收益率,总资产收益率,毛利率,净利率,营业利润率,市盈率（静）,市盈率（TTM）,市净率,市销率,股息率,营业收入增长率,净利润增长率,净资产增长率,净利润增速,资产负债率,流动比率,总资产周转率,存货周转率,应收账款周转率,每股经营现金流,现金流量比率
000032,深桑达Ａ,,深圳,,-20867,-0.53,1089,,-18.4080199606,-299.684431016389,8.4154910804,8621,10203,450,483,81.7698873905,1.28429109131,1267,19931028,1267,28426221665.32,1137959234.0,0.1496107752,3351,1216,,
000034,神州数码,,深圳,,3862,2.27,1089,,8.5642563633,-7.513255223203,3.7265153458,4459,4566,320,1335,74.7309732813,5.66631451684,8505,19940509,8505,33564391253.25,711260675.0,0.7443176316,6023,2293,,
000035,中国天楹,,深圳,,2624,1.96,1089,,-2.7206826325,-41.249065002366,30.8825512114,3966,8447,102,124,65.4354183099,1.430904229166,-2794,19940408,-2794,11103477328.080002,2500783182.0,8.3451105578,580,392,,
000036,华联控股,,深圳,,28214,0.11,1089,,4.2665333144,-71.934826859071,48.6242751761,15975,25070,127,380,21.504932928,2.182509685145,-1738,19940617,-1738,6471604322.25,1403818725.0,8.5455174241,635,281,,
000037,深南电A,,深圳,,-12948,-1.47,1,,-11.4496126489,42.565727405526,2.5801904083,25697,14807,384,357,25.0045127955,0.273522259882,2002,19940701,2002,5629802646.64,602762596.0,-15.046925755099998,1141,670,,
000039,中集集团,,深圳,,2038,1.09,1089,,11.0448304049,550.205057691158,12.0999481159,1491,1291,93,270,61.9894748412,6.266600974297,-3788,19940408,-3788,44326517564.700005,5392520385.0,1.9978403646,998,666,,
000042,中洲控股,,深圳,,1598,5.66,65,,-28.4043356449,145.602764938564,43.69092147,-299,-427,177,148,90.2606275076,1.125908673781,4174,19940921,4174,6056611676.29,664831139.0,11.0673664665,943,344,,
000045,深纺织Ａ,,深圳,,8194,1.19,1025,,-1.4107890337,-19.727741533741,14.8685800767,6461,7154,196,313,19.9569210804,0.536758385895,2609,19940815,2609,5774349078.6,506521849.0,2.9696324406,1437,754,,
000048,京基智农,,深圳,,1883,5.2,1089,,-11.6125178236,-3.972970908243,19.3180736379,1193,1209,196,186,58.325803548,6.760767878898,-6836,19941101,-6836,8516332934.999999,530282250.0,9.6391487136,1931,1196,,
000049,德赛电池,,深圳,,4782,0.74,1089,,6.6891593436,10.956736998494,9.9679964112,2254,2228,143,282,58.623173584,10.361247171507,-1355,19950320,-1355,9308252522.8,384638534.0,0.5739065886,2841,1791,,
000050,深天马Ａ,,深圳,,5849,0.75,1089,,9.9275970539,142.072364850937,16.2114353715,-3603,90169,88,164,61.6284372505,-0.543943129477,-113,19950315,-113,24085927077.800003,2457747661.0,0.996440877,1056,606,,
000055,方大集团,,深圳,,13074,0.28,65,,-25.0983079934,-85.196642991317,18.191282342,3122,9978,74,270,53.1968401175,4.440732226606,-1900,19960415,-1900,4521010495.67,1073874227.0,1.0828215468,452,310,,
000056,皇庭国际,,深圳,,-991,-25.91,65,,-29.3493651403,-0.834261872414,63.1611896691,-508,-507,1180,639,97.1208852179,-1.987938264103,3034,19960708,3034,3251952605.0,1182528220.0,-68.4163146611,443,167,,
000058,深 赛 格,,深圳,,12160,1.13,1089,,-13.5602750705,-7.980556768574,25.9171517568,29632,31285,553,152,50.0853482769,0.338705097702,-1465,19961226,-1465,11130054074.88,1231200672.0,6.9636709662000005,1182,583,,
000059,华锦股份,,深圳,,-436,-9.44,1089,,-5.0051924082,-33.147094513785,10.9242651029,-308,-283,82,216,59.3567445405,1.080660026294,-3799,19970130,-3799,8620995274.43,1599442537.0,-4.8868595126,586,356,,
000060,中金岭南,,深圳,,1790,1.91,1089,,-10.759297873,14.069902058662,5.1233362082,1807,1752,140,296,63.1324500996,2.327526101131,-4832,19970123,-4832,19547657210.030003,3737601761.0,1.9057105531,537,381,,
000061,农 产 品,,深圳,,3051,2.97,1089,,44.9757896659,-11.065932938354,20.6619482765,3026,3225,182,88,59.1764796115,0.867084387879,2895,19970110,2895,11624204297.349998,1696964131.0,7.8066413471,796,507,,
000062,深圳华强,,深圳,,8183,1.51,1089,,17.2383257665,83.91105103177,8.401561111,16226,13233,504,897,52.1692144086,4.267659500773,5798,19970130,5798,34556843998.88,1045909322.0,2.4076736385,4337,1773,,
000063,中兴通讯,,深圳,,2235,3.38,1089,,7.8156565991,-10.500153412339,34.2713747516,2603,2695,303,1112,66.6993732692,8.23122960951,6986,19971118,6986,219277239220.08,4783534887.0,7.4742245527,4790,2268,,
000065,北方国际,,深圳,,2084,3.11,1089,,-35.3376820005,-42.714488400582,13.085726651,1227,1572,128,351,56.2445429726,6.046322123219,2807,19980605,2807,12878058205.48,1071385874.0,4.4778684664,1335,792,,
000066,中国长城,,深圳,,-9186,-1.44,1089,,7.3209988756,36.146617468184,13.4000827939,-3964,-4222,536,1085,62.5609542216,0.696134640571,179,19970626,179,58612769428.96001,3225799088.0,-6.0338353531,2449,789,,
000068,华控赛格,,深圳,,-5390,-2.44,1,,-20.9798875717,24.978054950778,7.8191718748,28559,19819,542,285,75.126101407,-1.651374674201,-362,19970611,-362,3744817846.08,1006671464.0,-12.7811946848,462,277,,
000069,华侨城Ａ,,深圳,,-343,-2.96,1089,,-38.4018233119,-303.086399995129,5.4134092627,-225,-200,40,388,76.5727901843,4.144969436383,-270,19970910,-270,19451374488.26,8037758053.0,-32.7653502535,349,184,,
000070,特发信息,,深圳,,-15712,-1.01,1025,,-26.1594894829,-206.187944097814,17.0309763827,-2351,-2191,637,862,69.421802253,-0.954149116478,10000,20000511,10000,9462623427.6,900344760.0,0.4224271964,1177,395,,
000078,海王生物,,深圳,,7655,1.31,1089,,-8.8074864372,-44.383232551296,9.2342078856,-608,-599,399,340,89.7585064896,-1.102310954154,-3937,19981218,-3937,7261900189.32,2631123257.0,0.7179841918,319,208,,
