股票代码,股票名称,peTTM,pctChg
sh.600189,泉阳泉,313.768078,0.2703
sh.600191,华资实业,107.46235,0.0
sh.600192,长城电工,-18.303277,-2.5794
sh.600193,*ST创兴,-8.500124,-0.7407
sh.600195,中牧股份,135.582934,-0.7682
sh.600196,复星医药,25.901672,4.1866
sh.600197,伊力特,25.942688,-0.2015
sh.600198,大唐电信,386.235355,-1.2806
sh.600199,金种子酒,-22.236293,-0.5618
sh.600200,*ST苏吴,-181.587393,-5.303
sh.600201,生物股份,119.499392,-3.4014
sh.600202,哈空调,-254.021496,0.3515
sh.600203,福日电子,-19.145069,-3.5199
sh.600206,有研新材,75.141713,-4.2714
sh.600207,安彩高科,-11.720607,-3.8986
sh.600208,衢州发展,32.830628,
sh.600210,紫江企业,11.805182,-0.1563
sh.600211,西藏药业,13.233118,2.1734
sh.600212,绿能慧充,443.92919,-2.9536
sh.600215,派斯林,-4082.400573,-1.4745
sh.600216,浙江医药,10.808942,6.1449
sh.600217,中再资环,446.095463,0.2212
sh.600218,全柴动力,44.637905,-1.3158
sh.600219,南山铝业,8.338406,0.4926
sh.600221,海航控股,-49.834196,0.6536
sh.600222,太龙药业,117.955342,1.1182
sh.600223,福瑞达,36.997545,2.0262
sh.600226,亨通股份,41.804064,0.0
sh.600227,赤天化,-44.525315,-0.813
sh.600228,*ST返利,-75.210621,-3.7037
sh.600229,城市传媒,76.585161,0.4286
sh.600230,沧州大化,390.265969,2.5856
sh.600231,凌钢股份,-3.806949,1.4151
sh.600232,金鹰股份,242.018448,-0.9375
sh.600233,圆通速递,13.459706,3.0
sh.600234,科新发展,49.442898,1.652
sh.600235,民丰特纸,50.884929,-1.372
sh.600236,桂冠电力,21.343646,0.1543
sh.600237,铜峰电子,48.66125,-1.6774
sh.600238,*ST椰岛,-23.974363,4.9347
sh.600239,云南城投,-126.988129,-0.3937
sh.600241,时代万恒,127.032402,-1.0689
sh.600243,*ST海华,-16.683709,-4.8193
sh.600246,万通发展,-31.149054,-2.8886
sh.600248,陕建股份,5.216737,-0.2532
sh.600249,两面针,47.013468,-0.1712
sh.600250,南京商旅,120.852349,1.7399
sh.600251,冠农股份,42.692492,-0.2478
sh.600252,中恒集团,-21.959498,-0.3636
sh.600255,鑫科材料,104.089078,2.5496
sh.600256,广汇能源,12.369214,-0.1812
sh.600257,大湖股份,-40.993572,2.5641
sh.600258,首旅酒店,19.004172,0.7863
sh.600259,广晟有色,395.13703,-1.9633
sh.600261,阳光照明,21.448164,-0.2941
sh.600262,北方股份,20.612546,-1.4932
sh.600265,ST景谷,-28.823962,-0.5382
sh.600266,城建发展,-17.676003,-1.006
sh.600267,海正药业,25.714092,-1.841
sh.600268,国电南自,24.261327,-2.7225
sh.600269,赣粤高速,9.101155,0.1953
sh.600271,航天信息,-15660.207682,-0.5353
sh.600272,开开实业,191.020162,0.0698
sh.600273,嘉化能源,11.369301,0.6719
sh.600276,恒瑞医药,61.6897,-0.3292
sh.600278,东方创业,31.175916,-0.9223
sh.600279,重庆港,13.127593,-1.3913
sh.600280,中央商场,-26.083211,0.5714
